ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0002063604-25-000154,51,WI
0002063604-25-000154,53,A0
0002063604-25-000154,55,A2
0002063604-25-000154,57,A4
0002063604-25-000154,59,A6
0002063604-25-000154,61,A8
0002063604-25-000154,63,B0
0002063604-25-000154,2,AK
0002063604-25-000154,4,AR
0002063604-25-000154,6,CO
0002063604-25-000154,8,DE
0002063604-25-000154,10,FL
0002063604-25-000154,12,HI
0002063604-25-000154,14,IL
0002063604-25-000154,16,IA
0002063604-25-000154,18,KY
0002063604-25-000154,20,ME
0002063604-25-000154,22,MA
0002063604-25-000154,24,MN
0002063604-25-000154,26,MO
0002063604-25-000154,28,NE
0002063604-25-000154,30,NH
0002063604-25-000154,32,NM
0002063604-25-000154,34,NC
0002063604-25-000154,36,OH
0002063604-25-000154,38,OR
0002063604-25-000154,40,PR
0002063604-25-000154,42,SC
0002063604-25-000154,44,TN
0002063604-25-000154,46,UT
0002063604-25-000154,48,VA
0002063604-25-000154,50,WV
0002063604-25-000154,52,WY
0002063604-25-000154,54,A1
0002063604-25-000154,56,A3
0002063604-25-000154,58,A5
0002063604-25-000154,60,A7
0002063604-25-000154,62,A9
0002063604-25-000154,64,Z4
0002063604-25-000154,1,AL
0002063604-25-000154,3,AZ
0002063604-25-000154,5,CA
0002063604-25-000154,7,CT
0002063604-25-000154,9,DC
0002063604-25-000154,11,GA
0002063604-25-000154,13,ID
0002063604-25-000154,15,IN
0002063604-25-000154,17,KS
0002063604-25-000154,19,LA
0002063604-25-000154,21,MD
0002063604-25-000154,23,MI
0001062993-25-012170,1,AL
0001062993-25-012170,22,MA
0001062993-25-012170,5,CA
0001062993-25-012170,7,CT
0001062993-25-012170,9,DC
0001062993-25-012170,11,GA
0001062993-25-012170,13,ID
0001062993-25-012170,15,IN
0001062993-25-012170,17,KS
0001062993-25-012170,19,LA
0001062993-25-012170,21,MD
0001062993-25-012170,23,MI
0001062993-25-012170,25,MS
0001062993-25-012170,27,MT
0001062993-25-012170,24,MN
0001062993-25-012170,26,MO
0001062993-25-012170,28,NE
0001062993-25-012170,30,NH
0001062993-25-012170,32,NM
0001062993-25-012170,34,NC
0001062993-25-012170,36,OH
